surgery,age,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,rectal_exam_feces,abdomen,abdomo_appearance,surgical_lesion,abdomo_protein,lesion_1,packed_cell_volume,total_protein,nasogastric_reflux_ph,rectal_temp,pulse,respiratory_rate,outcome
yes,adult,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,less_1_liter,decreased,distend_small,serosanguious,yes,3.4,2209,57,8.5,6.5,38.1,132,24,died
yes,adult,cool,normal,pale_cyanotic,more_3_sec,mild_pain,absent,moderate,none,more_1_liter,absent,distend_small,serosanguious,yes,2,2208,33,64,2,37.5,88,12,euthanized
yes,adult,cool,reduced,pale_pink,less_3_sec,extreme_pain,hypomotile,moderate,slight,none,None,distend_large,serosanguious,yes,3.4,5124,37,6.4,3.5,38.3,120,28,lived
yes,adult,cold,reduced,pale_pink,more_3_sec,mild_pain,hypomotile,moderate,slight,more_1_liter,decreased,distend_small,cloudy,yes,3.9,2208,53,7,2,37.1,72,30,lived
no,adult,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,less_1_liter,normal,normal,cloudy,no,2.6,0,47,7.3,7,38,52,48,lived
no,adult,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,more_1_liter,decreased,firm,cloudy,no,2.8,0,49,8,5,38.1,56,32,lived
yes,adult,cool,reduced,normal_pink,less_3_sec,severe_pain,normal,slight,none,more_1_liter,decreased,None,cloudy,no,1,3111,43,75,2,38.3,36,16,euthanized
no,adult,cool,reduced,pale_cyanotic,more_3_sec,mild_pain,hypomotile,moderate,slight,none,absent,distend_small,serosanguious,yes,4.5,2207,57,7.6,4.5,39.2,114,24,died
no,adult,cool,reduced,normal_pink,less_3_sec,alert,hypermotile,slight,slight,more_1_liter,normal,firm,cloudy,no,2.6,0,40,7.8,7,37.4,48,12,lived
yes,adult,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,none,None,None,cloudy,yes,2.9,3209,57,4.9,4.4,38.3,129,48,died
yes,adult,cool,normal,pale_cyanotic,less_3_sec,depressed,absent,moderate,slight,more_1_liter,absent,distend_small,cloudy,yes,2,2208,46,7.5,5.3,38.3,84,48,died
yes,adult,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,absent,distend_large,clear,yes,2,3205,65,8,2,39.3,84,30,euthanized
yes,adult,warm,normal,pale_pink,less_3_sec,alert,hypomotile,moderate,slight,less_1_liter,decreased,distend_small,serosanguious,no,3.6,3205,44,6.7,6,38.1,164,36,lived
